fare_id,origin_id,destination_id
law_phl,240,249
law_phl,249,240
law_phl,240,250
law_phl,250,240
law_phl,240,251
law_phl,251,240
law_phl,240,252
law_phl,252,240
law_phl,241,249
law_phl,249,241
law_phl,241,250
law_phl,250,241
law_phl,241,251
law_phl,251,241
law_phl,241,252
law_phl,252,241
law_phl,242,249
law_phl,249,242
law_phl,242,250
law_phl,250,242
law_phl,242,251
law_phl,251,242
law_phl,242,252
law_phl,252,242
hwc_phl,243,249
hwc_phl,249,243
hwc_phl,243,250
hwc_phl,250,243
hwc_phl,243,251
hwc_phl,251,243
hwc_phl,243,252
hwc_phl,252,243
hwc_phl,244,249
hwc_phl,249,244
hwc_phl,244,250
hwc_phl,250,244
hwc_phl,244,251
hwc_phl,251,244
hwc_phl,244,252
hwc_phl,252,244
hwc_phl,245,249
hwc_phl,249,245
hwc_phl,245,250
hwc_phl,250,245
hwc_phl,245,251
hwc_phl,251,245
hwc_phl,245,252
hwc_phl,252,245
f_phl,246,249
f_phl,249,246
f_phl,246,250
f_phl,250,246
f_phl,246,251
f_phl,251,246
f_phl,246,252
f_phl,252,246
bc_phl,247,249
bc_phl,249,247
bc_phl,247,250
bc_phl,250,247
bc_phl,247,251
bc_phl,251,247
bc_phl,247,252
bc_phl,252,247
bc_phl,248,249
bc_phl,249,248
bc_phl,248,250
bc_phl,250,248
bc_phl,248,251
bc_phl,251,248
bc_phl,248,252
bc_phl,252,248
nj_nj,240,241
nj_nj,240,242
nj_nj,240,243
nj_nj,240,244
nj_nj,240,245
nj_nj,240,246
nj_nj,240,247
nj_nj,240,248
nj_nj,241,240
nj_nj,241,242
nj_nj,241,243
nj_nj,241,244
nj_nj,241,245
nj_nj,241,246
nj_nj,241,247
nj_nj,241,248
nj_nj,242,240
nj_nj,242,241
nj_nj,242,243
nj_nj,242,244
nj_nj,242,245
nj_nj,242,246
nj_nj,242,247
nj_nj,242,248
nj_nj,243,240
nj_nj,243,241
nj_nj,243,242
nj_nj,243,244
nj_nj,243,245
nj_nj,243,246
nj_nj,243,247
nj_nj,243,248
nj_nj,244,240
nj_nj,244,241
nj_nj,244,242
nj_nj,244,243
nj_nj,244,245
nj_nj,244,246
nj_nj,244,247
nj_nj,244,248
nj_nj,245,240
nj_nj,245,241
nj_nj,245,242
nj_nj,245,243
nj_nj,245,244
nj_nj,245,246
nj_nj,245,247
nj_nj,245,248
nj_nj,246,240
nj_nj,246,241
nj_nj,246,242
nj_nj,246,243
nj_nj,246,244
nj_nj,246,245
nj_nj,246,247
nj_nj,246,248
nj_nj,247,240
nj_nj,247,241
nj_nj,247,242
nj_nj,247,243
nj_nj,247,244
nj_nj,247,245
nj_nj,247,246
nj_nj,247,248
nj_nj,248,240
nj_nj,248,241
nj_nj,248,242
nj_nj,248,243
nj_nj,248,244
nj_nj,248,245
nj_nj,248,246
nj_nj,248,247
phl_phl,249,250
phl_phl,249,251
phl_phl,249,252
phl_phl,250,249
phl_phl,250,251
phl_phl,250,252
phl_phl,251,249
phl_phl,251,250
phl_phl,251,252
phl_phl,252,249
phl_phl,252,250
phl_phl,252,251
