end_index,y,x,dist_between
196,39.9018741,-75.0396888,51.144027107
197,39.9016247,-75.0394695,33.444335197
198,39.9014171,-75.0393063,26.946214316
199,39.9010964,-75.0390818,40.454003817
200,39.9007298,-75.038811,46.831180337
201,39.9006025,-75.0387201,16.131057316
202,39.9002924,-75.0385252,38.253276856
203,39.899906,-75.0383093,46.707248035
204,39.899428,-75.038028,58.27110346
205,39.8988205,-75.0376865,73.503370735
206,39.8970297,-75.0367061,215.792035934
207,39.8966724,-75.0364264,46.325567049
208,39.8960878,-75.0360216,73.564838237
209,39.8948252,-75.0352005,156.794600493
210,39.894254,-75.0348767,69.204272192
211,39.8941801,-75.0348341,8.977825825
212,39.8935101,-75.0344822,80.249296504
213,39.892521,-75.034075,115.212123607
214,39.8921586,-75.0339153,42.49323999
215,39.8903303,-75.0331995,212.031675084
216,39.8882924,-75.0324005,236.368049308
217,39.8876742,-75.0321425,72.100386686
218,39.8870714,-75.0318284,72.121209148
219,39.8867056,-75.0316178,44.431094766
220,39.8862176,-75.0312745,61.629090151
221,39.8860598,-75.0311528,20.37998831
222,39.8856625,-75.0308431,51.455978676
223,39.8853359,-75.0305273,45.218217507
224,39.8850496,-75.0302651,38.903942915
225,39.8848392,-75.0300499,29.741974943
226,39.8847373,-75.0299308,15.224846778
227,39.8846343,-75.0298106,15.378584912
228,39.8829341,-75.0278359,253.314800758
229,39.8819157,-75.0266305,153.028519707
230,39.8808718,-75.0252361,166.318446672
231,39.87949,-75.023158,234.819265296
232,39.878871,-75.022026,118.747151549
233,39.878533,-75.021368,67.652122605
234,39.8771006,-75.0187312,275.998519734
235,39.8764045,-75.0174883,131.449689573
236,39.8756702,-75.0162998,130.326052024
237,39.874912,-75.015241,123.659452251
238,39.8741376,-75.01433,116.048085081
239,39.8739022,-75.0140936,33.047819834
240,39.8732504,-75.0134632,90.255918108
241,39.8722568,-75.0125864,133.40791112
242,39.8718091,-75.0122622,56.923609341
243,39.870825,-75.011455,129.260926246
244,39.869509,-75.010693,160.002211904
245,39.869394,-75.010626,13.996373253
246,39.8683912,-75.0102624,115.60710936
247,39.8680212,-75.010101,43.340626823
248,39.8674125,-75.0099229,69.281736954
249,39.8665205,-75.0096643,101.481954971
250,39.8656212,-75.0094561,101.427687995
251,39.864615,-75.009343,112.138760124
252,39.862472,-75.009299,237.971382602
253,39.861773,-75.009267,77.659641168
254,39.8605771,-75.0092437,132.798094643
255,39.859762,-75.009204,90.565872043
256,39.8594884,-75.009188,30.409173387
257,39.858893,-75.009153,66.176214512
258,39.858277,-75.009147,68.397587374
259,39.8577582,-75.0091531,57.605717423
260,39.8567571,-75.0091685,111.161837199
261,39.8558391,-75.0091549,101.93390252
262,39.85484,-75.0091098,110.999039779
263,39.8538162,-75.0089854,114.171777781
264,39.8535932,-75.0089354,25.127085469
265,39.8528301,-75.0087709,85.889864273
266,39.8527041,-75.0087429,14.193726315
267,39.852031,-75.0085329,76.86586923
268,39.8514095,-75.0082947,71.954158661
269,39.8508179,-75.0080455,69.061664867
270,39.8500728,-75.0077366,86.850767717
271,39.8498964,-75.0076626,20.584404587
272,39.8495373,-75.007505,42.090972157
273,39.8477129,-75.0067349,213.018315041
274,39.8459915,-75.0060291,200.448180262
275,39.8452215,-75.0057035,89.921331632
276,39.8441699,-75.0052372,123.393068695
277,39.841731,-75.004192,285.188769057
278,39.840307,-75.003557,167.18982731
279,39.838877,-75.002996,165.877223781
280,39.838455,-75.00283,48.962297107
281,39.838273,-75.002749,21.364028539
282,39.837394,-75.002357,103.203441019
283,39.836921,-75.002146,55.536687407
284,39.836864,-75.002122,6.653862413
285,39.836328,-75.001899,62.499121603
286,39.836306,-75.001895,2.466572221
287,39.836293,-75.001885,1.678130639
288,39.835657,-75.00162,74.169807728
289,39.8344864,-75.0009507,142.040117362
290,39.8339077,-75.0005096,74.526795815
291,39.8334735,-75.0001634,56.58992757
292,39.832638,-74.999452,110.968914986
293,39.832605,-74.999412,5.014926367
294,39.832074,-74.998859,75.610205226
295,39.8315604,-74.998285,75.27477311
296,39.831357,-74.997843,44.064095946
297,39.830995,-74.996711,104.908490821
298,39.830819,-74.996096,56.156286401
299,39.83078,-74.995714,32.986280748
300,39.830809,-74.995306,35.074646097
301,39.830872,-74.994907,34.864985559
302,39.830977,-74.994534,33.99208259
303,39.83119,-74.994234,34.911747308
304,39.831431,-74.99404,31.493120802
305,39.831774,-74.993919,39.467221087
306,39.832068,-74.993894,32.713308579
307,39.832349,-74.993949,31.553061856
308,39.832547,-74.994057,23.849038995
309,39.832717,-74.994263,25.830925387
310,39.832819,-74.994477,21.536903564
311,39.833233,-74.995457,95.657760193
312,39.833741,-74.996686,119.36996786
313,39.834121,-74.997373,72.377321478
314,39.834671,-74.998611,122.308598522
315,39.834941,-74.999333,68.689745725
316,39.835171,-75.000098,70.286565205
317,39.83532,-75.000552,42.236655023
318,39.835523,-75.001024,46.264305022
319,39.835581,-75.001107,9.588930661
320,39.835768,-75.001373,30.814449728
321,39.836068,-75.001632,40.012767557
